id_station,name,location,id_mrtline,mrtline,station_co,dcode,dname,latitude,longitude
BL01,สถานีท่าพระ,ยกระดับเหนือแยกท่าพระ ซึ่งเป็นจุดตัดระหว่างถนนจรัญสนิทวงศ์ ถนนเพชรเกษม และถนนรัชดาภิเษกฝั่งใต้,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1016,บางกอกใหญ่,13.7296593,100.4740885
BL02,สถานีจรัญฯ 13,ถนนจรัญสนิทวงศ์ บริเวณแยกพาณิชยการธนบุรี,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1016,บางกอกใหญ่,13.74005671,100.4707321
BL03,สถานีไฟฉาย,ถนนจรัญสนิทวงศ์ บริเวณด้านเหนือของแยกไฟฉาย,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1020,บางกอกน้อย,13.7557305,100.4693411
BL04,สถานีบางขุนนนท์,ถนนจรัญสนิทวงศ์ ระหว่างสี่แยกบางขุนนนท์,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1020,บางกอกน้อย,13.76334485,100.4733652
BL05,สถานีบางยี่ขัน,ถนนจรัญสนิทวงศ์ หน้าปากซอยจรัญสนิทวงศ์ 42 บริเวณหน้าตลาดอินดี้ปิ่นเกล้า,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1025,บางพลัด,13.77747388,100.4853472
BL06,สถานีสิรินธร,ยกระดับเหนือถนนจรัญสนิทวงศ์ กรุงเทพมหานคร,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1025,บางพลัด,13.783808,100.4932301
BL07,สถานีบางพลัด,ถนนจรัญสนิทวงศ์ บริเวณด้านหน้าธนาคารกสิกรไทย สาขาบางพลัด,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1025,บางพลัด,13.79238778,100.5048644
BL08,สถานีบางอ้อ,ถนนจรัญสนิทวงศ์บริเวณซอยจรัญสนิทวงศ์ 88,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1025,บางพลัด,13.79899246,100.5097903
BL09,สถานีบางโพ,ถนนประชาราษฎร์ สาย 2 บริเวณสี่แยกบางโพ,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1029,บางซื่อ,13.80640723,100.5211039
BL11,สถานีบางซื่อ,ใกล้สถานีรถไฟบางซื่อ ถนนเทอดดำริ,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1030,จตุจักร,13.80235091,100.5410375
BL12,สถานีกำแพงเพชร,ถนนกำแพงเพชร บริเวณสามแยกกำแพงเพชร 2 หน้าตลาด อ.ต.ก. และตลาดนัดจตุจักร,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1030,จตุจักร,13.79793257,100.547936
BL13,สถานีสวนจตุจักร,ถนนพหลโยธิน ฝั่งทิศตะวันตก ในอาณาเขตสวนจตุจักรด้านทิศใต้ ตรงข้ามศูนย์ซ่อมบำรุงหมอชิต,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1030,จตุจักร,13.80295124,100.5533613
BL14,สถานีพหลโยธิน,"บริเวณห้าแยกลาดพร้าว จุดบรรจบถนนลาดพร้าว, ถนนพหลโยธิน และถนนวิภาวดีรังสิต",1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1030,จตุจักร,13.81296882,100.5615673
BL15,สถานีลาดพร้าว,ถนนลาดพร้าว บริเวณทิศตะวันตกของสี่แยกรัชดา-ลาดพร้าว จุดบรรจบถนนลาดพร้าวและถนนรัชดาภิเษก,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1030,จตุจักร,13.8065239,100.572901
BL16,สถานีรัชดาภิเษก,ถนนรัชดาภิเษก บริเวณทิศเหนือของปากซอยโชคชัยร่วมมิตร และสะพานข้ามคลองบางซื่อ,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1026,ดินแดง,13.79895711,100.5744781
BL17,สถานีสุทธิสาร,ถนนรัชดาภิเษก บริเวณกลางทางแยกรัชดา-สุทธิสาร,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1026,ดินแดง,13.78945997,100.5740167
BL18,สถานีห้วยขวาง,ถนนรัชดาภิเษก บริเวณกลางแยกห้วยขวาง,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1026,ดินแดง,13.77869774,100.5734915
BL19,สถานีศูนย์วัฒนธรรมแห่งประเทศไทย,ใต้ถนนรัชดาภิเษก บริเวณด้านหน้าศูนย์การค้าเอสพลานาด รัชดาภิเษก,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1026,ดินแดง,13.76630887,100.5700702
BL20,สถานีพระราม 9,ถนนรัชดาภิเษก บริเวณทิศเหนือของสี่แยกพระราม 9,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1026,ดินแดง,13.75784279,100.5652421
BL21,สถานีเพชรบุรี,ถนนรัชดาภิเษก (อโศก-ดินแดง) บริเวณทิศเหนือของสี่แยกอโศก-เพชรบุรี,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1037,ราชเทวี,13.74919525,100.5633537
BL22,สถานีสุขุมวิท,ถนนอโศกมนตรี หน้าตลาดอโศก ด้านทิศเหนือของสี่แยกอโศกมนตรี,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1039,วัฒนา,13.73738427,100.5614168
BL23,สถานีศูนย์การประชุมแห่งชาติสิริกิติ์,ถนนรัชดาภิเษกตัดใหม่ ด้านหน้าศูนย์การประชุมแห่งชาติสิริกิติ์,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1033,คลองเตย,13.72262377,100.5599045
BL24,สถานีคลองเตย,ถนนพระรามที่ 4 ด้านหน้าสำนักงานการไฟฟ้านครหลวงเขตคลองเตย,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1033,คลองเตย,13.72229036,100.5540033
BL25,สถานีลุมพินี,ถนนพระรามที่ 4 บริเวณทิศตะวันออกของสี่แยกวิทยุ จุดบรรจบของถนนวิทยุ และถนนสาทรเหนือ-ใต้,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1007,ปทุมวัน,13.7257317,100.5457784
BL26,สถานีสีลม,ใต้ผิวถนนพระรามที่ 4 บริเวณสี่แยกศาลาแดงด้านทิศตะวันออก หน้าสวนลุมพินี,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1007,ปทุมวัน,13.72928274,100.5373135
BL27,สถานีสามย่าน,ถนนพระรามที่ 4 บริเวณสี่แยกสามย่านด้านทิศตะวันออกหน้าวัดหัวลำโพง,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1007,ปทุมวัน,13.73222813,100.5302684
BL28,สถานีหัวลำโพง,"ใต้ถนนพระรามที่ 4 บริเวณแยกหัวลำโพง จุดบรรจบ ถนนพระรามที่ 4, ถนนรองเมือง",1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1007,ปทุมวัน,13.73755186,100.5171633
BL29,สถานีวัดมังกร,ถนนเจริญกรุง บริเวณสี่แยกแปลงนาม,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1008,ป้อมปราบศัตรูพ่าย,13.74228753,100.5099535
BL30,สถานีสามยอด,ถนนเจริญกรุง ตั้งแต่บริเวณแยกสามยอด,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1001,พระนคร  ,13.74705362,100.5021701
BL31,สถานีสนามไชย,ถนนสนามไชย ด้านทิศเหนือของแยกสะพานเจริญรัช 31 หรือปากคลองตลาด,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1001,พระนคร  ,13.74434176,100.4947367
BL32,สถานีอิสรภาพ,ระหว่างซอยอิสรภาพ 23 (ซอยวัดราชสิทธาราม) และซอยอิสรภาพ 34 (ซอยพิเศษสุข),1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1016,บางกอกใหญ่,13.73831268,100.4857197
BL33,สถานีบางไผ่,ถนนเพชรเกษม ระหว่างซอยเพชรเกษม 19 กับซอยเพชรเกษม 19/2 บริเวณหน้าโรงพยาบาลบางไผ่,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1022,ภาษีเจริญ,13.72473175,100.4651442
BL34,สถานีบางหว้า,ถนนราชพฤกษ์ บริเวณด้านข้างสะพานยกระดับข้ามทางแยกต่างระดับเพชรเกษม,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1022,ภาษีเจริญ,13.72070709,100.4578516
BL35,สถานีเพชรเกษม48,ถนนเพชรเกษม ระหว่างซอยเพชรเกษม 31/1 และ 46/2,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1022,ภาษีเจริญ,13.71541044,100.4454476
BL36,สถานีภาษีเจริญ,ถนนเพชรเกษม หน้าศูนย์สรรพสินค้าซีคอนบางแค,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1022,ภาษีเจริญ,13.7128901,100.4342906
BL37,สถานีบางแค,ถนนเพชรเกษม ระหว่างซอยเพชรเกษม 62/3 กับซอยเพชรเกษม 62/4,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1040,บางแค,13.71189286,100.4222739
BL38,สถานีหลักสอง,ถนนเพชรเกษม อยู่ระหว่างซอยเพชรเกษม 80 และทางแยกต่างระดับเพชรเกษม ตัดกับถนนกาญจนาภิเษก,1,เส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน,,1040,บางแค,13.7108635,100.4094434
PP01,สถานีคลองบางไผ่,ถนนกาญจนาภิเษก บริเวณเยื้องปากซอยบ้านบัวทอง ด้านหน้าอาคารศูนย์ซ่อมบำรุงรถไฟฟ้าและอาคารจอดแล้วจร,2,เส้นทางรถไฟฟ้ามหานคร สายสีม่วง,,,,13.89238779,100.4082208
PP02,สถานีตลาดบางใหญ่,ถนนกาญจนาภิเษก,2,เส้นทางรถไฟฟ้ามหานคร สายสีม่วง,,,,13.88103687,100.4092903
PP03,สถานีสามแยกบางใหญ่,ถนนรัตนาธิเบศร์ หมู่ที่ 7 บ้านคลองบางเดื่อ ตำบลเสาธงหิน อำเภอบางใหญ่,2,เส้นทางรถไฟฟ้ามหานคร สายสีม่วง,,,,13.87469609,100.4193558
PP04,สถานีบางพลู,ถนนรัตนาธิเบศร์ ยกระดับเหนือสะพานข้ามทางแยกบางพลู,2,เส้นทางรถไฟฟ้ามหานคร สายสีม่วง,,,,13.87575986,100.4337962
PP05,สถานีบางรักใหญ่,ระหว่างทางแยกบางพลูกับทางแยกต่างระดับบางรักน้อย,2,เส้นทางรถไฟฟ้ามหานคร สายสีม่วง,,,,13.87660724,100.4449415
PP06,สถานีบางรักน้อยท่าอิฐ,ถนนรัตนาธิเบศร์ ใกล้กับทางแยกไทรม้าและอาคารจอดแล้วจรสถานีบางรักน้อยท่าอิฐ,2,เส้นทางรถไฟฟ้ามหานคร สายสีม่วง,,,,13.87480634,100.45595
PP07,สถานีไทรม้า,ถนนรัตนาธิเบศร์ บริเวณซอยตาหรั่งและหมู่บ้านซื่อตรง รัตนาธิเบศร์,2,เส้นทางรถไฟฟ้ามหานคร สายสีม่วง,,,,13.87047546,100.4667018
PP08,สถานีสะพานพระนั่งเกล้า,ริมถนนรัตนาธิเบศร์ ใกล้กับทางขึ้นสะพานพระนั่งเกล้าฝั่งตะวันออก,2,เส้นทางรถไฟฟ้ามหานคร สายสีม่วง,,,,13.87030425,100.4801163
